"lon","lat"
-3.54276,56.34877
11.469105,48.65102
8.938065,50.351704
16.55976,59.604501
8.676796,50.175579
10.217199,48.968048
6.273472,51.288574
16.56029,59.349817
21.736283,66.01483
12.359812,58.361958
6.285306,50.963085
18.205222,59.210262
17.91105,58.995573
11.43651,50.72961
16.308914,58.951354
9.754735,49.992264
8.902824,50.425037
7.637683,58.116749
11.600418,49.099575
8.823133,50.664211
6.352563,50.908333
11.699721,58.438903
13.582396,52.528416
6.946978,58.168648
13.562622,52.481628
12.038233,55.976235
11.173071,53.165344
17.333254,60.467424
15.992869,59.514828
8.989584,50.06918
6.273472,51.288574
10.721455,53.30262
6.38,49.84
10.807575,53.268379
10.135403,49.989422
15.992869,59.514833
12.01974,51.23455
