"X","Y"
-1942610.72667843,116676.817362235
-1304630.00852356,713566.572013332
-1388878.00824537,737617.600192382
-1518402.53276553,1242086.36427193
-1622830.39674169,830792.884009589
-1394059.41174991,728486.313090705
-1425956.82220876,1247979.31183774
-2102714.08937134,-239554.426012311
-2124588.58415073,-28836.5970819465
-2136550.09680889,-75636.2435776825
-2259922.95137211,87784.025846056
-890351.79279603,1202769.29943585
-1304622.97736134,713546.08771108
-2097696.45035964,-66252.5938611571
-2137293.23100342,-76032.612386282
-1936691.20920864,159808.524952313
-1426023.90649685,1247244.24193046
-2006799.58022959,-266047.046976547
-2102407.18945089,-95198.4006861492
-2472234.10842407,987928.873223564
-1501373.36779116,823897.396803747
-2156392.49092537,-88219.6594098102
-1788766.75392835,68919.9944890492
-1364424.35204941,631285.743973861
-2269246.13692527,66758.6072757402
-2247208.08424989,144736.294929402
-1304622.97736134,713546.08771108
-1719820.22653477,174376.860008091
-1562564.44409771,875601.366288892
-2260731.76632196,79790.2553197098
-1740597.73025254,57451.9996518827
-1249691.90187093,667780.111464282
-2060846.3183026,-113259.564483388
-1418135.08218761,1250551.8408569
-2241076.78672879,-306848.578494784
-1942610.72667843,116676.817362235
-2265727.13680943,73983.6822342126
-1249607.51084254,667740.628790213
-2097696.45035964,-66252.5938611571
-1896316.68747313,-38242.8029285797
-1304639.92868085,713563.000480727
-1249654.55115785,667749.493235403
-1249673.16204961,667768.914206729
-1239493.59528676,838228.076344346
-2119566.61603147,-269912.641564558
-1892558.69418564,-36832.8868142118
-1579139.04781125,792455.346271865
-1249719.22939266,667879.141519518
-1218050.17083498,662635.21754027
-2057099.94608964,-110450.461943397
-2508877.26962511,986524.878751692
-2470941.21747466,988251.220177058
-1810438.94520894,773788.174482805
-1366019.34374246,1227464.40705441
-1758929.90684243,64124.2091596238
-1304608.55158116,713539.834512697
-1322307.43937428,732646.531293433
-806886.374962494,1300405.15084431
-1404854.999633,741944.215923095
-1203802.93597816,703970.1066918
-1249671.89492944,667767.893979745
-2261996.2741188,77900.441356329
-2260159.45602101,138496.32916167
-2259274.76281894,138229.335243217
-2261909.83327008,98308.5709080434
-2261464.89853773,78950.9158150462
-2126029.32035274,-58953.6429926668
-1128100.22420801,1012593.264177
-1321789.6668372,732911.328580113
-2136669.77313887,-76560.9300733406
-2136519.21386316,-77930.4045733953
-2170805.02027269,-57088.770732902
-1367731.21107612,1228357.33222753
-1569003.80382363,888175.499253747
-1751499.44748729,53294.0410594643
-2261248.78216624,100394.068167006
-2153172.84389998,-48652.9088442982
-2472666.9353672,987989.8889063
-1476991.2999951,1115477.57820493
-1740832.50572107,57301.9434270865
-2471078.51620276,988224.484353069
-1841835.33975032,863507.610849192
-1591826.43236062,814974.963397538
-956847.444952568,1123603.43344031
-1309381.72158641,731036.705682581
-1457395.11022799,787604.552033614
-1249602.20477527,667594.738922201
-1582299.14959863,698892.060739992
-2261754.98626634,97078.9576884655
-2141429.36149923,-60840.5331924962
-2173532.00221669,-62283.2124990025
-1512558.05435265,616366.078463416
-2037607.52145244,-289925.931018072
-2247208.08424989,144736.294929402
-1586563.8939354,655168.789704722
-1841823.02039143,783024.627295797
-2170727.4002631,-290966.549621281
-1304622.97736134,713546.08771108
-1587510.62823568,707985.355559511
-806886.374962494,1300405.15084431
-2344473.83016613,-28040.3782897008
-2235170.3933049,-321033.724451652
-1866053.10250218,187779.057209434
-2271230.39223705,101313.713320109
-2137113.3959673,-68975.416833926
-2056571.90816183,-391174.512159069
-2487238.29163873,967095.814630702
-2037069.76381488,-289632.084066977
-2127347.92485595,-39366.0620884235
-1291088.73159069,734362.030289873
-2152100.07009826,-49377.9328324427
-2106785.28610175,-220014.551696876
-2247643.47337835,139099.901965114
-1300776.82062038,707555.782831357
-817815.364352822,1334233.04415124
-1564540.02170963,692298.947444206
-2263287.38453566,105997.334946442
-1218079.18816196,662630.190196502
-1241587.60418229,645141.878173598
-1951219.36176455,-73205.3754139391
-1329415.91282373,670456.582928559
-2091528.89778528,-100786.290163985
-2126191.94195603,-30799.5672477794
-1823502.06685829,784111.471463605
-2009515.52424239,-246844.894657911
-2120132.15360641,-3946.28347470822
-2261909.83327008,98308.5709080434
-1596029.45361219,715421.24239394
-1740771.87335624,57340.7929799927
-1856279.97822247,807868.987615689
-1743893.14273534,52944.8746293037
-1687416.42308189,453726.319187351
-1861794.45186678,185754.607703266
-1218273.65023254,811086.634965702
-1324377.76230051,735755.483584252
-2137088.66640283,-69826.5798885152
-2247643.47337835,139099.901965114
-1882884.74925745,212052.033090755
-2313425.45449229,-10165.0932960754
-1879244.84331195,206198.975061483
-2067125.0847499,-112361.47944881
-1324377.5670329,735756.008185543
-1892553.71103879,-36845.23007835
-1089555.76664073,1057778.64467204
-2488778.67048114,967015.218364913
-2102407.18945089,-95198.4006861492
